,meal_type,name,url,image_url,alt,description
0,side-dish,Best Yorkshire puddings,/recipes/best-yorkshire-puddings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-901451_9-687c42b.jpg?quality=90&resize=93,85",Four Yorkshire puddings in a baking tin,The secret to getting gloriously puffed-up Yorkshire puddings is to have the fat sizzling hot and don't open the oven door!
1,side-dish,Classic cheese scones,/recipes/classic-cheese-scones,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cheese_scones-7333023.jpg?quality=90&resize=93,85",Classic cheese scones served on a wire rack with butter alongside,Indulge in some cheese scones for afternoon tea or as part of a picnic. They're also great served alongside soups and you can freeze them for later use
2,side-dish,Naan bread,/recipes/naan-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/naan-bread-dfcfdf3.jpg?quality=90&resize=93,85",Warm naan bread stacked in a pile,"Make your own Indian flatbreads at home and you'll never go back to buying them. Delicious eaten warm, these naans are ideal served with your favourite curry"
3,side-dish,Focaccia,/recipes/focaccia,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/focaccia-f599171.jpg?quality=90&resize=93,85",Focaccia in a baking tray,"Make a simple, homemade version of this classic Italian bread. Serve our rosemary focaccia alongside pasta dishes or enjoy with green salads"
4,side-dish,Ultimate roast potatoes,/recipes/ultimate-roast-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/roast-potatoes-main-7b0e23a.jpg?quality=90&resize=93,85",Roast potatoes scattered with salt in a baking tin,Make sure your roasties are perfect for Sunday lunch or even Christmas dinner – this foolproof recipe guarantees a crisp crunch that gives way to a fluffy middle
5,side-dish,Easy coronation chicken,/recipes/easy-coronation-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/coronation_chicken-55f6963.jpg?quality=90&resize=93,85",Easy coronation chicken served on a plate with salad,Make a classic coronation chicken filling to serve with jacket potatoes or in sandwiches and salads. It's an excellent way to use up leftover chicken after a roast
6,side-dish,Easy bread rolls,/recipes/easy-bread-rolls,"https://images.immediate.co.uk/production/volatile/sites/30/2020/03/EasyBreadRolls-e4a7255.jpg?quality=90&resize=93,85",Bread roll and butter,"Bake these simple white bread rolls for sandwiches, burger buns or to dunk in soup. Using only a handful of ingredients, bread-making has never been so easy"
7,side-dish,White sourdough,/recipes/white-sourdough,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/white-sourdough-a59e971.jpg?quality=90&resize=93,85",Loaves of bread with butter and knife,"Master the art of making sourdough bread with our step-by-step recipe. Learn how to create a starter, levain and the loaf itself with our expert tips."
8,side-dish,Saag aloo,/recipes/sag-aloo,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-931476_11-92a0015.jpg?quality=90&resize=93,85",Sag aloo in a serving dish,Saag aloo is a classic Indian-style side dish featuring potatoes fried in spices and spinach. Rustle up this fragrant vegetarian recipe in just 25 minutes.
9,side-dish,Dauphinoise potatoes,/recipes/dauphinoise-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-881483_10-43470a0.jpg?quality=90&resize=93,85",Dauphinoise potatoes in an oval dish with portion out,Thin slices of potato slow cooked in the oven with cream and garlic – the most decadent of side dishes
10,side-dish,Pitta bread,/recipes/pitta-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pitta-bread-74a1b32.jpg?quality=90&resize=93,85",Pitta bread on a chopping board with hummus,Rustle up homemade pitta bread to serve with dips or as a side dish to mop up juices. You can easily make them ahead and freeze them for a fail-safe snack
11,side-dish,Harissa cauliflower pilaf,/recipes/harissa-cauliflower-pilaf,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/spiced-broccoli-paneer-peas-with-garam-masala-cashewsharissa-cauliflower-pilaf-5f70538.jpg?quality=90&resize=93,85",Harissa cauliflower pilaf served in a tray,"Evoke the Middle East with our veggie harissa cauliflower pilaf with a heady combination of fruit, nuts and spice. Cook it in the oven for lovely fluffy rice"
12,side-dish,Easy white bread,/recipes/easy-white-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2008/01/EasyWhiteBread-7756545.jpg?quality=90&resize=93,85",Easy white bread loaf sliced with butter,A great recipe for an electric breadmaker – or do it the traditional way
13,side-dish,Cauliflower cheese,/recipes/cauliflower-cheese-0,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-196602_11-01e6eea.jpg?quality=90&resize=93,85",Cauliflower cheese in large dish with spoon,"Pop this classic side dish in the oven when you take your roast chicken out to rest, so there's no hot shelf juggling"
14,side-dish,Bombay potatoes,/recipes/bombay-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bombay-potato-9af5be0.jpg?quality=90&resize=93,85",Bombay potatoes served in a wok,"Enjoy Bombay potatoes as a brilliant side dish to an epic feast. These Indian-style potatoes made with nuggets of juicy tomato are super-easy to make, spicy and moreish"
15,side-dish,Creamed spinach,/recipes/creamed-spinach,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/creamed_spinach-dad1f50.jpg?quality=90&resize=93,85",Creamed spinach in a gold serving bowl,"What can be better than a side of creamy, nutmeg-infused spinach? Perfect to accompany any roast and especially good at Christmas"
16,side-dish,Tortillas,/recipes/tortillas,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tortillas-32d9534.jpg?quality=90&resize=93,85",A selection of tortillas,Forget shop-bought and try homemade tortillas. They'll store for two days or you can freeze them to use later. They're perfect for wraps
17,side-dish,Chickpea salad,/recipes/no-cook-chickpea-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2017/05/chickpea-salad-021d806-e1655726572507.jpg?quality=90&resize=93,85",Chickpea salad in bowl,Use a touch of harissa to liven up a healthy chickpea salad. It takes just 10 minutes to whip up and makes an ideal side dish for slow-cooked Greek lamb
18,side-dish,Roast aubergines with yogurt & harissa,/recipes/roast-aubergines-yogurt-harissa,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/roast-aubergines-with-yogurt-harissa-39a0c4e.jpg?quality=90&resize=93,85",A roasted aubergine served with yogurt and harissa,Looking for a simple side or starter that delivers on taste? Look no further than roast aubergines with yogurt and harissa. It's vegetarian and gluten free
19,side-dish,Chow mein,/recipes/chow-mein,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chow-mein-c48a006.jpg?quality=90&resize=93,85",Chow mein in a bowl on a wooden place mat,"A classic Chinese dish of stir-fried egg noodles with shredded chicken breast. Experiment with different fish, meat or vegetables"
20,side-dish,Ratatouille,/recipes/ratatouille,"https://images.immediate.co.uk/production/volatile/sites/30/2019/05/Ratatouille-ea27a5c.jpg?quality=90&resize=93,85",Ratatouille,"Enjoy this super-healthy traditional ratatouille recipe for lunch or dinner, safe in the knowledge that it counts as four of your five-a-day"
21,side-dish,Greek salad,/recipes/greek-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1201727_11-4026b8d.jpg?quality=90&resize=93,85",Greek salad in a bowl alongside kebabs and tzatziki,"Make a fresh and colourful Greek salad in no time. It's great with grilled meats at a barbecue, or on its own as a veggie main"
22,side-dish,Easy soda bread,/recipes/simple-soda-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/soda-bread-bfca6cc.jpg?quality=90&resize=93,85",A loaf of sliced soda bread on a chopping board,"Want a simple bread recipe? This Irish soda bread requires no kneading or proving, is yeast-free and takes mere minutes to prepare. Above all, it's delicious"
23,side-dish,Roasted summer vegetables,/recipes/roasted-vegetables,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/roasted-vegetables-741cc15.jpg?quality=90&resize=93,85",Roasted vegetables served in a dish,"Add feta and basil to roasted vegetables for a perfect summer side dish. The trick is to cut the veggies the same size, so they cook simultaneously"
